user,trip,overspeed
0cyPnU2ybzX4TzKCGb6M8VMa1Jy2,1600660495004 ,2
0cyPnU2ybzX4TzKCGb6M8VMa1Jy2,1600692839350 ,0
1gQ03xU6GafMxm4nEgs42w1c00r2,1598004181126 ,4
1gQ03xU6GafMxm4nEgs42w1c00r2,1598065065800 ,10
1gQ03xU6GafMxm4nEgs42w1c00r2,1598072543174 ,4
1gQ03xU6GafMxm4nEgs42w1c00r2,1598222798549 ,6
1gQ03xU6GafMxm4nEgs42w1c00r2,1598264602312 ,6
1gQ03xU6GafMxm4nEgs42w1c00r2,1598274633502 ,14
1gQ03xU6GafMxm4nEgs42w1c00r2,1598315377564 ,7
1gQ03xU6GafMxm4nEgs42w1c00r2,1598326499687 ,6
1gQ03xU6GafMxm4nEgs42w1c00r2,1598349090462 ,2
1gQ03xU6GafMxm4nEgs42w1c00r2,1598400566183 ,7
1gQ03xU6GafMxm4nEgs42w1c00r2,1598436577728 ,4
1gQ03xU6GafMxm4nEgs42w1c00r2,1598484722909 ,6
1gQ03xU6GafMxm4nEgs42w1c00r2,1598521861508 ,2
1gQ03xU6GafMxm4nEgs42w1c00r2,1598568357904 ,8
1gQ03xU6GafMxm4nEgs42w1c00r2,1598608790906 ,6
1gQ03xU6GafMxm4nEgs42w1c00r2,1598662585366 ,13
1gQ03xU6GafMxm4nEgs42w1c00r2,1598671677718 ,0
1gQ03xU6GafMxm4nEgs42w1c00r2,1598828325165 ,6
1gQ03xU6GafMxm4nEgs42w1c00r2,1598869198282 ,2
1gQ03xU6GafMxm4nEgs42w1c00r2,1598917334734 ,8
1gQ03xU6GafMxm4nEgs42w1c00r2,1598954672407 ,2
1gQ03xU6GafMxm4nEgs42w1c00r2,1599005621635 ,2
1gQ03xU6GafMxm4nEgs42w1c00r2,1599042219988 ,2
1gQ03xU6GafMxm4nEgs42w1c00r2,1599091557354 ,2
1gQ03xU6GafMxm4nEgs42w1c00r2,1599130122169 ,3
1gQ03xU6GafMxm4nEgs42w1c00r2,1599176522214 ,2
1gQ03xU6GafMxm4nEgs42w1c00r2,1599187257743 ,6
1gQ03xU6GafMxm4nEgs42w1c00r2,1599214281006 ,2
1gQ03xU6GafMxm4nEgs42w1c00r2,1599281755679 ,40
1gQ03xU6GafMxm4nEgs42w1c00r2,1599302837272 ,16
1gQ03xU6GafMxm4nEgs42w1c00r2,1599435752156 ,4
1gQ03xU6GafMxm4nEgs42w1c00r2,1599472788501 ,4
1gQ03xU6GafMxm4nEgs42w1c00r2,1599525191063 ,6
1gQ03xU6GafMxm4nEgs42w1c00r2,1599558966784 ,5
1gQ03xU6GafMxm4nEgs42w1c00r2,1599780753063 ,4
1gQ03xU6GafMxm4nEgs42w1c00r2,1599816988470 ,4
1gQ03xU6GafMxm4nEgs42w1c00r2,1599892806262 ,4
1gQ03xU6GafMxm4nEgs42w1c00r2,1600041473091 ,6
1gQ03xU6GafMxm4nEgs42w1c00r2,1600078348176 ,5
