overspeed,accel,decel,stop,start,cluster,score
87,1161,580,145,653,86,40
159,1109,346,138,693,74,56
331,1270,683,195,586,85,33
27,796,281,93,281,73,72
30,1191,229,45,137,40,63
162,604,219,54,109,20,86
124,823,548,0,457,96,55
19,414,414,0,138,41,84
114,667,133,0,0,58,85
46,484,138,0,138,59,92
63,336,149,0,149,25,87
17,112,225,37,75,35,97
200,427,197,0,32,67,83
114,197,65,0,98,0,99
368,399,266,0,266,98,79
52,625,234,0,390,16,82
215,200,133,0,200,15,93
3,584,83,83,250,16,82
206,534,0,0,66,7,88
51,930,169,84,84,10,70
123,266,66,0,66,43,96
82,559,279,0,0,20,86
262,266,266,0,333,98,79
138,350,0,0,210,45,94
16,1132,353,0,707,74,56
284,860,286,57,401,94,62
104,1022,426,85,426,22,48
258,534,267,66,400,66,59
75,463,637,57,521,83,66
89,422,253,84,338,62,77
76,454,64,129,454,62,77
511,78,78,0,0,75,91
52,441,126,0,189,25,87
83,494,164,0,329,16,82
382,303,37,18,94,57,90
257,613,477,68,272,61,60
668,874,407,58,233,21,65
279,555,118,0,79,84,75
69,805,268,67,402,73,72
30,958,615,0,479,86,40
157,810,486,81,162,36,69
67,827,331,0,496,96,55
249,104,69,34,69,19,98
152,109,0,0,36,19,98
86,405,324,0,162,41,84
189,811,487,0,487,96,55
482,214,482,0,321,28,71
212,564,246,0,317,5,73
10,568,243,0,243,5,73
34,1013,337,56,394,22,48
119,1265,553,0,395,22,48
172,1055,324,0,487,74,56
43,408,350,0,175,41,84
381,884,384,76,500,66,59
27,813,244,0,325,73,72
91,325,162,0,244,45,94
182,811,649,0,324,80,49
79,730,243,0,486,34,68
194,486,81,0,324,16,82
31,811,243,0,405,73,72
11,488,162,81,162,20,86
11,812,81,81,81,58,85
134,599,458,70,246,5,73
57,485,808,80,161,83,66
129,812,325,81,243,94,62
76,811,487,0,162,36,69
21,649,81,0,324,16,82
50,710,473,0,552,96,55
15,666,166,83,166,20,86
172,481,309,68,172,5,73
420,493,207,0,181,99,78
105,649,649,0,324,83,66
51,1199,749,0,149,44,46
1,1800,171,42,985,76,26
117,607,157,0,269,16,82
357,56,170,28,85,60,89
465,258,155,0,69,17,80
77,1057,244,0,162,10,70
87,728,647,80,404,96,55
25,1058,235,117,470,74,56
307,408,0,0,306,98,79
124,1052,323,80,323,95,50
84,471,707,0,196,83,66
13,806,84,0,84,58,85
32,1116,620,124,62,44,46
13,1081,491,196,98,50,57
36,719,253,0,126,36,69
0,433,506,144,216,83,66
11,538,359,179,179,5,73
80,742,557,61,61,36,69
3,607,303,23,46,20,86
63,1113,618,61,0,44,46
143,534,200,0,0,20,86
20,490,490,92,61,41,84
32,1240,496,186,124,44,46
107,1007,503,45,183,50,57
105,863,678,61,123,80,49
44,448,551,68,275,83,66
110,636,254,254,254,5,73
32,303,303,0,151,25,87
165,562,112,0,0,7,88
30,884,828,0,276,80,49
30,1481,648,185,463,56,36
126,995,829,55,276,80,49
9,1610,660,82,247,56,36
39,884,663,221,276,80,49
53,1586,1035,323,194,81,31
2,177,177,35,106,35,97
1,2109,917,183,91,68,18
1,469,298,42,42,20,86
27,1278,611,111,166,44,46
14,730,531,33,33,36,69
45,926,308,154,231,50,57
3,321,187,53,53,25,87
54,713,554,105,158,36,69
2,852,583,134,89,36,69
0,338,0,0,56,43,96
63,944,833,55,166,80,49
52,559,223,37,149,20,86
217,862,392,39,156,94,62
262,555,74,37,148,84,75
29,601,263,112,338,5,73
71,609,76,0,76,59,92
19,801,100,0,450,73,72
216,642,247,98,247,84,75
35,1205,419,0,419,22,48
77,527,339,0,263,5,73
44,334,0,83,0,43,96
23,463,154,77,77,20,86
147,368,184,0,221,25,87
31,654,269,38,231,5,73
16,813,443,0,110,36,69
9,629,157,39,78,20,86
206,334,111,37,0,15,93
34,813,284,122,406,73,72
250,173,34,0,34,15,93
205,96,32,0,32,19,98
105,811,147,73,110,58,85
33,1610,378,94,0,3,47
85,1576,497,165,331,56,36
93,534,191,152,229,5,73
44,446,446,111,260,5,73
70,476,278,39,119,20,86
0,334,148,37,37,43,96
11,625,351,0,156,5,73
63,655,462,115,308,5,73
331,431,201,0,28,67,83
397,511,134,0,80,99,78
136,664,117,0,156,58,85
