overspeed,accel,decel,stop,start,cluster,score
193,1184,868,236,552,3,32
376,1955,1564,312,625,67,11
111,1912,514,0,367,12,40
56,2299,890,148,667,62,16
448,1769,919,141,636,65,14
93,3040,1260,148,667,4,6
48,1967,513,0,85,12,40
14,1046,241,241,241,99,56
281,2523,770,140,770,79,8
143,2132,894,206,619,62,16
108,1794,414,276,1173,39,22
141,1732,623,138,415,83,24
62,1700,541,154,618,1,37
120,1929,551,68,482,98,26
180,1244,691,276,760,15,38
138,1804,902,138,763,59,19
189,1731,900,207,623,59,19
92,1533,584,219,584,1,37
96,1193,632,210,351,15,38
216,1653,801,100,300,74,36
95,1677,1048,209,559,59,19
286,1905,1020,68,612,59,19
162,1581,894,137,756,59,19
29,2615,871,290,799,79,8
111,1034,443,0,443,26,48
121,2314,878,159,478,62,16
277,1144,371,104,341,95,52
27,1230,443,147,393,72,39
216,793,504,0,721,8,47
87,1161,580,145,653,15,38
159,1109,346,138,693,26,48
331,1270,683,195,586,78,33
27,796,281,93,281,68,62
30,1191,229,45,137,76,61
162,604,219,54,109,31,82
124,823,548,0,457,73,54
19,414,414,0,138,91,78
114,667,133,0,0,33,85
46,484,138,0,138,14,91
63,336,149,0,149,14,91
17,112,225,37,75,44,95
200,427,197,0,32,57,80
114,197,65,0,98,16,97
368,399,266,0,266,57,80
52,625,234,0,390,19,75
215,200,133,0,200,27,93
3,584,83,83,250,5,89
206,534,0,0,66,84,86
51,930,169,84,84,17,68
123,266,66,0,66,37,92
82,559,279,0,0,31,82
262,266,266,0,333,43,84
138,350,0,0,210,37,92
16,1132,353,0,707,26,48
284,860,286,57,401,73,54
104,1022,426,85,426,26,48
258,534,267,66,400,46,60
75,463,637,57,521,75,71
89,422,253,84,338,31,82
76,454,64,129,454,19,75
511,78,78,0,0,58,87
52,441,126,0,189,14,91
83,494,164,0,329,19,75
382,303,37,18,94,66,90
257,613,477,68,272,28,53
668,874,407,58,233,52,46
279,555,118,0,79,64,73
69,805,268,67,402,68,62
30,958,615,0,479,15,38
157,810,486,81,162,90,57
67,827,331,0,496,73,54
249,104,69,34,69,97,94
152,109,0,0,36,70,98
86,405,324,0,162,91,78
189,811,487,0,487,73,54
482,214,482,0,321,38,66
212,564,246,0,317,46,60
10,568,243,0,243,31,82
34,1013,337,56,394,99,56
119,1265,553,0,395,72,39
172,1055,324,0,487,26,48
43,408,350,0,175,91,78
381,884,384,76,500,46,60
27,813,244,0,325,68,62
91,325,162,0,244,43,84
182,811,649,0,324,73,54
79,730,243,0,486,68,62
194,486,81,0,324,13,74
31,811,243,0,405,68,62
11,488,162,81,162,14,91
11,812,81,81,81,33,85
134,599,458,70,246,48,69
57,485,808,80,161,45,65
129,812,325,81,243,60,70
76,811,487,0,162,45,65
21,649,81,0,324,19,75
50,710,473,0,552,8,47
15,666,166,83,166,31,82
172,481,309,68,172,57,80
420,493,207,0,181,13,74
105,649,649,0,324,87,51
51,1199,749,0,149,74,36
1,1800,171,42,985,39,22
117,607,157,0,269,19,75
357,56,170,28,85,25,88
465,258,155,0,69,21,83
77,1057,244,0,162,17,68
87,728,647,80,404,87,51
25,1058,235,117,470,26,48
307,408,0,0,306,13,74
124,1052,323,80,323,95,52
84,471,707,0,196,45,65
13,806,84,0,84,33,85
32,1116,620,124,62,55,45
13,1081,491,196,98,99,56
36,719,253,0,126,31,82
0,433,506,144,216,48,69
11,538,359,179,179,48,69
80,742,557,61,61,45,65
3,607,303,23,46,31,82
63,1113,618,61,0,55,45
143,534,200,0,0,31,82
20,490,490,92,61,31,82
32,1240,496,186,124,55,45
107,1007,503,45,183,99,56
105,863,678,61,123,96,49
44,448,551,68,275,48,69
110,636,254,254,254,48,69
32,303,303,0,151,14,91
165,562,112,0,0,84,86
30,884,828,0,276,96,49
30,1481,648,185,463,0,35
126,995,829,55,276,96,49
9,1610,660,82,247,0,35
39,884,663,221,276,96,49
53,1586,1035,323,194,74,36
2,177,177,35,106,44,95
1,2109,917,183,91,62,16
1,469,298,42,42,31,82
27,1278,611,111,166,74,36
14,730,531,33,33,45,65
45,926,308,154,231,99,56
3,321,187,53,53,14,91
54,713,554,105,158,45,65
2,852,583,134,89,99,56
0,338,0,0,56,37,92
63,944,833,55,166,96,49
